You have specified parameters: threshold=mu+/-1.00*sigma #fea=50 selection method=MID #maxVar=10000 #maxSample=40000

Target classification variable (#1 column in the input data) has name=0 	entropy score=1.000

*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
28 	 121 	 NewAtt.DirectEllipse 	 0.012
29 	 8 	 HitStatisticsValues.z_min 	 0.011
30 	 22 	 LineFit_TTParams.lf_vel 	 0.006
31 	 96 	 SplineMPEMuEXDifferential.x 	 0.006
32 	 119 	 SplineMPETruncatedEnergy_SPICEMie_AllDOMS_Muon.energy 	 0.005
33 	 86 	 SplineMPEDirectHitsE.dir_track_length 	 0.005
34 	 29 	 MPEFitHighNoise.z 	 0.006
35 	 120 	 NewAtt.radius 	 0.005
36 	 58 	 SPEFit2Bayesian.time 	 0.004
37 	 123 	 NewAtt.SepDevide 	 0.004
38 	 37 	 MPEFitParaboloid.zenith 	 0.005
39 	 43 	 MPEFitParaboloidFitParams.err2 	 0.003
40 	 9 	 HitStatisticsValues.z_max 	 0.003
41 	 42 	 MPEFitParaboloidFitParams.err1 	 0.002
42 	 111 	 SplineMPETruncatedEnergy_SPICEMie_AllBINS_Muon.energy 	 0.001
43 	 47 	 MPEFit_TT.fit_status 	 -0.000
44 	 32 	 MPEFitHighNoise.azimuth 	 -0.000
45 	 115 	 SplineMPETruncatedEnergy_SPICEMie_AllDOMS_Muon.z 	 0.003
46 	 89 	 SplineMPEDirectHitsE.n_dir_doms 	 0.001
47 	 4 	 HitStatisticsValues.cog_z_sigma 	 0.001
48 	 5 	 HitStatisticsValues.min_pulse_time 	 -0.001
49 	 60 	 SPEFit2Bayesian.azimuth 	 -0.001
50 	 40 	 MPEFitParaboloidFitParams.zenith 	 0.000


 *** This program and the respective minimum Redundancy Maximum Relevance (mRMR)
     algorithm were developed by Hanchuan Peng <hanchuan.peng@gmail.com>for
     the paper
     "Feature selection based on mutual information: criteria of
      max-dependency, max-relevance, and min-redundancy,"
      Hanchuan Peng, Fuhui Long, and Chris Ding,
      IEEE Transactions on Pattern Analysis and Machine Intelligence,
      Vol. 27, No. 8, pp.1226-1238, 2005.
